"","favor","contra","absten","quorum","ausen","title","leg","filename","yr","mo","dy","haveinfo"
"53",412,2,6,0,82,"DECRETO QUE REFORMA DIVERSAS DISPOSICIONES DEL CPF; CFPP; DE LA LFCDO; DE LA LIC; DE LA LACP; DE LA LSAHR; DE LA LSI; DE LA LMV; DE LA LFIF; DE LA LGISMS; Y DE LA LGOAAC. (EN LO GENERAL Y EN LO PARTICULAR LOS ARTÍCULOS NO RESERVADOS Y CON LA FE DE ERRATAS ACEPTADA, PRESENTADA POR LA COMISIÓN)",60,"60yr1or2-sil-53",2007,2,20,1
"54",273,131,8,1,89,"DECRETO QUE REFORMA DIVERSAS DISPOSICIONES DEL CPF; CFPP; DE LA LFCDO; DE LA LIC; DE LA LACP; DE LA LSAHR; DE LA LSI; DE LA LMV; DE LA LFIF; DE LA LGISMS; Y DE LA LGOAAC. (EN LO PARTICULAR LOS ARTÍCULOS  RESERVADOS EN SUS TÉRMINOS)",60,"60yr1or2-sil-54",2007,2,20,1
"55",380,0,0,1,121,"DECRETO PARA QUE SE INSCRIBAN CON LETRAS DE ORO EN EL MURO DE HONOR DEL PALACIO LEGISLATIVO DE SAN LÁZARO LA LEYENDA ""CONSTITUYENTES DE APATZINGAN"". (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-55",2007,2,22,1
"56",364,0,1,0,137,"DOS DECRETOS QUE CONCEDEN PERMISO A DOS CIUDADANOS PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-56",2007,2,22,1
"57",398,0,0,0,104,"DECRETO QUE REFORMA Y ADICIONA LA LEY GENERAL DE CULTURA FÍSICA Y DEPORTE. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-57",2007,2,27,1
"58",279,20,68,0,135,"DECRETO QUE CONCEDE AUTORIZACIÓN AL PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA QUE PUEDA AUSENTARSE DE TERRITORIO NACIONAL LOS DÍAS 2 Y 3 DE MARZO DE 2007 A EFECTO DE QUE ASISTA A LA XIX REUNIÓN DE JEFES DE ESTADO Y GOBIERNO DEL MECANISMO GRUPO DE RÍO QUE SE CELEBRARÁ EN LA CD. DE GEORGETOWN, EN LA REP. DE GUYANA. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-58",2007,2,27,1
"59",352,0,0,1,149,"DECRETO QUE REFORMA EL ARTÍCULO 79 DE LA LEY GENERAL DE SALUD. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-59",2007,3,1,1
"60",362,0,0,0,140,"DECRETO QUE REFORMA LOS ARTÍCULOS 98, EL SEGUNDO PÁRRAFO DEL ARTICULO 316, Y SE ADICIONA UN ARTÍCULO 41 BIS A LA LEY GENERAL DE SALUD. (EN LO GENERAL Y EN LO PARTICULAR CON LA MODIFICACIÓN ACEPTADA)",60,"60yr1or2-sil-60",2007,3,1,1
"61",424,0,1,0,77,"DECRETO QUE REFORMA EL ARTICULO 6º DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR CON LAS MODIFICACIONES ACEPTADAS)",60,"60yr1or2-sil-61",2007,3,6,1
"62",391,0,3,0,108,"TRES DECRETOS QUE CONCEDEN PERMISO A 13 CIUDADANOS MEXICANOS PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-62",2007,3,6,1
